,Temp,Date,Lat,Long,Margalefidinium polykrikoides (Cells/L),MaxWSpd,WSpd,TotPrcp
10,42.84125,2016-03-07,,,,13.4,3.088690476190476,0.5
11,44.87723214285714,2016-03-14,,,,15.2,4.988839285714286,4.3
12,44.36688524590164,2016-03-21,,,,12.7,4.434226190476191,1.8
13,46.04883928571429,2016-03-28,,,,18.5,4.502827380952381,4.9
14,44.027321428571426,2016-04-04,,,,14.7,4.732142857142857,5.2
15,47.05383928571429,2016-04-11,,,,16.4,5.0894345238095235,0.8
16,50.18133928571429,2016-04-18,,,,13.7,3.620982142857143,0.3
17,51.92857142857143,2016-04-25,,,,11.8,2.999107142857143,2.6
18,51.4426825633383,2016-05-02,,,,18.1,5.446875,6.6000000000000005
19,53.50919642857143,2016-05-09,,,,13.9,3.1614583333333335,1.0
20,56.54169895678093,2016-05-16,,,,15.0,3.1723214285714287,0.0
21,60.73303571428571,2016-05-23,,,,11.6,2.7441964285714286,2.3
22,65.39026785714286,2016-05-30,,,,10.1,2.511011904761905,11.8
23,64.68714285714286,2016-06-06,,,,13.9,3.238988095238095,6.6
24,65.60044709388971,2016-06-13,,,,11.5,2.5904761904761906,0.0
25,68.38253353204173,2016-06-20,,,,11.2,2.2257440476190475,12.7
26,69.91830104321907,2016-06-27,,,,11.3,2.6653273809523808,4.8
27,72.11080357142858,2016-07-04,,,,11.4,2.9995535714285717,4.6
28,71.85473214285715,2016-07-11,,,,13.3,2.251190476190476,8.399999999999999
29,74.50892857142857,2016-07-18,,,,17.8,2.8163690476190473,9.2
30,76.19214285714287,2016-07-25,,,,9.2,2.29375,2.0
31,75.1678092399404,2016-08-01,,,,8.8,2.8953869047619047,3.8
32,76.33678571428572,2016-08-08,,,,14.0,2.459077380952381,13.399999999999999
33,77.68405365126677,2016-08-15,,,,10.9,2.3441964285714283,0.0
34,75.80760059612518,2016-08-22,,,,10.9,2.5726190476190474,7.1
35,75.00741071428573,2016-08-29,41.3623,-71.6517,5500000.0,12.8,3.365029761904762,1.8
36,75.00741071428573,2016-08-29,41.7179585,-71.356099,390000.0,12.8,3.365029761904762,1.8
37,75.00741071428573,2016-08-29,41.672678,-71.307543,1040000.0,12.8,3.365029761904762,1.8
38,75.00741071428573,2016-08-29,41.5722,-71.3944,64000.0,12.8,3.365029761904762,1.8
39,71.19044642857142,2016-09-05,41.63954,-71.25831,5100000.0,21.5,4.52934131736527,2.4000000000000004
40,71.19044642857142,2016-09-05,41.64967,-71.255953,4470000.0,21.5,4.52934131736527,2.4000000000000004
41,71.19044642857142,2016-09-05,41.689271,-71.242775,1600000.0,21.5,4.52934131736527,2.4000000000000004
42,71.19044642857142,2016-09-05,41.689786,-71.203938,166000.0,21.5,4.52934131736527,2.4000000000000004
43,71.19044642857142,2016-09-05,41.70923,-71.25105,111000.0,21.5,4.52934131736527,2.4000000000000004
44,71.19044642857142,2016-09-05,41.708279,-71.247854,300000.0,21.5,4.52934131736527,2.4000000000000004
45,71.19044642857142,2016-09-05,41.5722,-71.3944,34000.0,21.5,4.52934131736527,2.4000000000000004
46,71.53722801788376,2016-09-12,41.67922,-71.43732,111000.0,13.7,2.696875,1.0
47,71.53722801788376,2016-09-12,41.71474,-71.31858,44300.0,13.7,2.696875,1.0
48,71.53722801788376,2016-09-12,41.727878,-71.286486,18000.0,13.7,2.696875,1.0
49,71.53722801788376,2016-09-12,41.5722,-71.3944,40000.0,13.7,2.696875,1.0
50,71.75883928571429,2016-09-19,41.6669,-71.2852,2300000.0,11.2,2.299107142857143,5.4
51,71.75883928571429,2016-09-19,41.7031,-71.3333,28000.0,11.2,2.299107142857143,5.4
52,71.75883928571429,2016-09-19,41.6238,-71.2905,1107.0,11.2,2.299107142857143,5.4
53,71.75883928571429,2016-09-19,41.6196,-71.2108,6100.0,11.2,2.299107142857143,5.4
54,71.75883928571429,2016-09-19,41.5722,-71.3944,22000.0,11.2,2.299107142857143,5.4
55,65.455625,2016-09-26,41.5722,-71.3944,2000.0,14.6,5.713541666666667,11.7
56,64.28572280178838,2016-10-03,,,,17.9,3.3270833333333334,2.3
57,60.607946428571424,2016-10-10,,,,15.3,2.7882706766917296,0.0
58,62.66830357142857,2016-10-17,,,,17.1,3.0150297619047617,13.7
59,55.878660714285715,2016-10-24,,,,14.3,3.8110119047619047,4.1
60,55.21598214285714,2016-10-31,,,,15.1,3.1229166666666663,0.5
