"DateTime","Alexandrium catenella","Dinophysis acuminata","Dinophysis norvegica","Karenia","Margalefidinium polykrikoides","Pseudo-nitzschia"
"2020-01-25 07:27:54",219,0,0,1314,219,876
"2020-01-25 10:55:51",659,0,0,1539,440,220
"2020-01-25 14:48:26",218,0,0,1305,0,435
"2020-01-25 18:16:24",222,0,0,1551,0,886
"2020-01-25 21:44:21",659,220,0,1538,220,659
"2020-01-26 01:12:18",661,0,0,441,220,0
"2020-01-26 04:40:16",445,222,0,667,0,222
"2020-02-01 01:32:01",0,0,0,0,0,0
"2020-02-01 05:00:13",0,0,0,0,0,201
"2020-02-01 08:28:24",0,0,0,0,0,0
"2020-02-01 12:22:37",0,0,0,0,0,0
"2020-02-01 15:50:49",0,0,0,0,0,0
"2020-02-02 00:03:50",0,0,0,0,0,0
"2020-03-05 01:11:48",0,0,0,0,0,0
"2020-03-05 10:18:22",0,0,0,0,0,0
"2020-03-06 06:50:19",0,0,0,0,0,0
"2020-03-20 18:00:21",0,204,0,0,0,0
"2020-03-20 21:34:48",0,653,0,0,0,0
"2020-03-21 01:08:52",0,207,0,0,0,0
"2020-03-21 04:43:17",0,1038,0,208,0,0
"2020-03-21 08:17:43",0,207,0,207,0,0
"2020-03-21 11:52:09",0,0,0,0,0,0
"2020-03-21 15:52:42",0,215,0,215,0,0
"2020-03-21 19:27:09",0,212,212,0,0,212
"2020-03-21 23:01:35",211,422,211,0,0,422
"2020-03-22 02:36:01",206,619,0,0,0,206
"2020-03-22 06:10:27",0,0,0,0,0,0
"2020-03-22 09:44:53",219,0,0,219,0,219
"2020-03-22 13:19:19",0,0,0,214,0,214
"2020-03-23 20:57:16",209,209,0,209,0,0
"2020-03-24 00:31:19",0,412,0,0,0,206
"2020-03-24 04:05:46",0,0,0,206,0,413
"2020-03-24 07:40:12",216,649,0,0,0,649
"2020-03-24 11:14:18",0,206,0,206,0,206
"2020-03-24 14:48:46",0,0,0,215,0,644
"2020-03-24 18:23:14",0,635,0,0,0,212
"2020-03-24 22:22:44",0,0,0,0,0,209
"2020-03-25 01:56:29",209,0,209,209,0,628
"2020-03-25 05:30:57",0,436,0,0,0,873
"2020-03-25 09:05:04",212,0,0,212,0,424
